Zip,Sum of Number of Services,Sum of Number of Unique Beneficiaries,Count of Number of Unique Beneficiaries,Sum of Total Medicare Payment Amount,Average of Percent (%) of Beneficiaries Identified With Cancer,Average of Percent (%) of Beneficiaries Identified With Diabetes,Average of Average HCC Risk Score of Beneficiaries
76088,530,144,1,26382.14,,0.26,1.3365
76092,277357,39216,125,11068851.5,0.118915663,0.289134615,1.1577864
76102,96875,20941,50,10275828.01,0.093888889,0.406086957,1.636724
76103,23648,3698,16,983561.44,0.081428571,0.482,1.95225
76104,4183302,609828,1104,147593118.2,0.150492554,0.418344965,2.010133424
76105,3054,538,3,163894.27,0.085,0.413333333,1.609866667
76106,3814,427,5,144539.34,,0.41,1.11534
76107,250683,58941,321,14166773.24,0.099440559,0.395074074,1.549671028
76108,11828,2049,10,479648.02,0.098,0.3375,1.27728
76109,175641,39272,170,10381879.43,0.14203252,0.356645161,1.644875882
76110,210263,17096,24,8788973.88,0.176,0.433,1.9815625
76111,61719,3619,15,1024558.01,0.073,0.455833333,1.58158
76112,24062,10844,33,1514925.07,0.098695652,0.391785714,1.768684848
76114,5253,988,11,214071.9,0.09,0.386,1.416154545
76115,246887,7862,24,2563808.17,0.08875,0.450416667,1.6082
76116,97935,15129,72,4545692.78,0.112173913,0.353770492,1.573158333
76117,4788,1206,10,161790.64,0.093333333,0.309,1.24881
76118,1945,255,3,91933.71,0.1,0.39,1.811266667
76119,4770,1563,10,178827.39,0.075,0.422,1.58949
76120,7131,1927,10,365319.82,0.115,0.45875,1.77446
76123,3914,1502,7,232784.39,0.1225,0.296666667,1.128585714
76126,17485,3520,17,658910.59,0.091818182,0.321333333,1.077305882
76127,135,41,1,7443.02,,0.29,0.8619
76131,101,14,1,2414.37,,,0.7936
76132,622518,70592,239,24812730.56,0.129,0.336047619,1.39461046
76133,26394,5860,40,1112019.69,0.1025,0.340277778,1.25968
76134,15980,4983,9,1098490.6,0.097142857,0.4725,2.193322222
76135,52001,10683,47,2158622.18,0.081111111,0.338571429,1.250710638
76137,35975,5593,37,963385.49,0.083684211,0.341875,1.129081081
76140,188829,3030,9,540175.65,0.073333333,0.428571429,1.660444444
76148,7670,972,8,300198.54,0.0675,0.361666667,1.27815
76164,1686,210,3,50283.92,0,0.44,1.110366667
76177,606,212,3,20251.66,0.11,0.406666667,1.909366667
76179,19801,3206,19,707630.1,0.11,0.317058824,1.1772
76180,250753,32678,109,8813516.51,0.113797468,0.386989247,1.581584404
76182,8017,1677,15,475681.07,0.102,0.393636364,1.3456
76199,602,148,1,23403.21,,0.4,1.3776
76201,482377,53800,155,16598676.27,0.132568807,0.318914729,1.325567097
76202,554,106,1,23977.86,,0.51,2.4557
76203,38,21,1,2054.08,,,1.2732
76205,179615,18824,42,5514795.41,0.108,0.323333333,1.157085714
76207,79940,3961,16,2392848.17,0.108571429,0.346666667,1.33710625
76208,49665,10625,30,3964613.03,0.156666667,0.342222222,1.50477
76209,4891,302,6,156660.32,,0.438,1.427833333
76210,467280,39111,115,17632460.71,0.152125,0.363207547,1.518763478
76226,16517,1884,10,593587.6,0.13,0.353333333,1.58578
76227,9984,1436,14,287570.94,0.096,0.326666667,1.054985714
76229,368,86,1,30394.49,,0.26,1.3026
76230,24957,3223,13,605389.97,0.104444444,0.285,1.213684615
76234,177044,25127,80,8382217.98,0.133333333,0.361408451,1.43545375
76236,24,24,1,6301.45,,,1.363
76240,79691,14492,49,3224695.81,0.098928571,0.304,1.200142857
76244,71316,5521,39,1564797.07,0.104,0.331111111,1.281130769
76247,3656,903,5,146222.71,0.11,0.333333333,1.33168
76248,52996,10156,66,2550168.04,0.113823529,0.261372549,1.005459091
76249,5224,638,6,141256.25,0.125,0.348,1.718966667
76252,2966,793,6,109703.66,0.18,0.303333333,1.194533333
76255,12664,1737,5,277167.18,0.056666667,0.3,1.11124
76258,15055,1735,8,411812.22,0.085714286,0.335714286,1.46515
76262,14126,4726,23,1204923.09,0.098333333,0.341,1.3674
76264,383,57,1,16875.83,,0.19,1.4838
76266,9100,1789,7,261129.07,0.096666667,0.34,1.3037
76272,1005,165,1,29211.24,0.08,0.29,1.0499
76273,13024,949,7,340789.22,0.055,0.33,1.080257143
76301,610085,135933,176,30368052.03,0.1104,0.417784431,1.650974432
76302,114536,16641,38,4677889.22,0.096666667,0.341714286,1.344584211
76306,1073,416,2,43076.3,0.055,0.285,1.0558
76308,189202,29426,66,6664982.59,0.096444444,0.3445,1.265187879
76309,103692,12029,21,4805251.57,0.074166667,0.351666667,1.29317619
76310,1233749,25542,50,15956346.66,0.144358974,0.333265306,1.270358
76311,742,578,3,49331.84,0.09,0.275,1.2901
76351,3766,78,1,67147.79,,0.46,1.8421
76354,8451,1758,8,307787.09,0.0675,0.4325,1.1279875
76360,4611,876,5,208313.29,0.076666667,0.4175,1.40372
76365,13706,1892,7,467053.48,0.085,0.351428571,1.281571429
76366,1643,891,1,110683.28,0.1,0.49,2.0234
76367,13994,1605,4,393771.16,0.09,0.36,1.323325
76371,535,203,1,27450.6,0.1,0.36,1.3541
76374,12749,951,5,406454.84,0.0775,0.416,1.68074
76380,4491,1376,7,299801.3,0.096666667,0.394285714,1.660514286
76384,35486,5233,21,1187643.24,0.090714286,0.3345,1.27857619
76401,129670,23458,58,4992067.16,0.10902439,0.294285714,1.176148276
76424,12667,1848,9,420134.49,0.086,0.304285714,1.0567
76426,37931,3095,17,947356.93,0.0975,0.315714286,1.086188235
76430,13473,956,5,157813.72,0.0975,0.3075,1.13198
76431,252,65,1,5143.13,,0.26,0.9775
76433,829,483,1,69431.96,0.11,0.36,1.431
76437,1828,406,3,53610.86,0.08,0.253333333,1.081633333
76442,30373,3230,14,856556.7,0.104166667,0.336153846,1.291671429
76443,4632,429,2,53681.48,0.09,0.345,1.1191
76444,25435,4699,3,1211392.29,0.095,0.503333333,1.772766667
76446,3363,312,2,81384.73,0.05,0.345,1.3919
76448,42261,4762,18,1311255.48,0.09,0.317777778,1.347216667
76450,99871,7208,25,2537731.96,0.094210526,0.33,1.297384
76454,7928,482,1,123359.74,0.07,0.25,0.9703
76455,414,13,1,23075.58,,,0.9673
76458,14625,996,5,553202.6,0.11,0.362,1.89864
76470,4918,356,2,139557.6,0.11,0.295,1.30445
76471,159,41,1,3393.06,,,0.7328
76472,814,31,1,15915.07,,0.45,2.0328
76483,313,120,1,17864.54,,0.41,1.4265
76487,602,490,1,51369.62,0.1,0.38,1.7553
76501,34655,7895,21,1499750.13,0.092307692,0.309444444,1.182252381
76502,110144,30195,74,4069044.89,0.10787234,0.37884058,1.408947297
76503,686,341,1,23540.8,0.11,0.35,1.3045
76504,91055,17223,65,2335745.62,0.105294118,0.437272727,1.688338462
76508,728380,279761,679,34227107.79,0.149633911,0.417381703,1.821785272
76513,41695,8339,37,1501181.44,0.0825,0.3484375,1.382181081
76520,13273,3887,15,558093.69,0.086666667,0.372,1.41396
76522,23977,4064,22,778382.49,0.067272727,0.371666667,1.145763636
76528,37692,5285,23,1323768.01,0.087333333,0.325,1.499330435
76531,25726,2889,13,754764.43,0.132,0.308333333,1.250584615
76540,15378,1199,1,615952.27,0.1,0.52,2.209
76541,7375,2013,11,351415.24,0.05,0.407142857,1.335590909
76542,29633,3717,28,1794445.53,0.047,0.38125,1.121010714
76543,19357,8013,27,815325.14,0.072631579,0.368333333,1.098911111
76544,16349,9975,52,1323783.96,0.116206897,0.434888889,1.824901923
76548,54101,11758,44,2468243.36,0.068846154,0.418333333,1.352115909
76549,283547,44510,119,9335015.12,0.099589041,0.464642857,1.528138655
76550,163466,6745,16,3421474.54,0.111,0.38875,1.45198125
76557,205,128,2,8602.16,,0.325,1.1698
76567,6463,2563,13,340262.28,0.078571429,0.376923077,1.504184615
76570,405,218,1,30831.05,0.06,0.43,1.7234
76571,4028,1075,7,166229.88,0.075,0.252,0.967514286
76574,29924,11580,37,1923639.76,0.087307692,0.336,1.143151351
76632,450,349,1,32387.45,0.09,0.36,1.5816
76633,4427,450,3,103126.65,0.08,0.38,1.421333333
76634,4248,1899,13,226155.57,0.125555556,0.3,1.313030769
76638,439,18,1,8009.11,,,1.6341
76642,21494,1790,11,652953.13,0.08,0.3875,1.2797
76643,329633,10208,10,2510913.13,0.095555556,0.33,1.58026
76645,33411,6151,28,1553190.95,0.109047619,0.359166667,1.327939286
76648,1581,582,3,47563.16,0.07,0.306666667,1.0474
76655,2814,1797,3,202137.57,0.115,0.43,2.015233333
76657,8214,1346,6,338921.24,0.093333333,0.388333333,1.487283333
76661,6433,1261,8,297707.09,0.076666667,0.411666667,1.3519875
76665,15041,634,2,383866.81,0.13,0.405,2.1753
76667,18778,5379,19,819563.56,0.087272727,0.328235294,1.416542105
76691,9059,1019,7,203982.06,0.1,0.274285714,1.047428571
76692,20526,3171,10,635494.55,0.087142857,0.25125,0.97474
76693,2421,167,1,78546.04,0.08,0.41,1.4043
76701,31791,1574,13,392616.25,0.023333333,0.328181818,1.155215385
76704,1013,240,2,14271.13,,0.405,1.3023
76705,18400,4303,20,491791.13,0.078333333,0.309444444,1.037445
76706,9681,1621,10,240590.79,0.075,0.399,1.1744
76707,20795,5766,29,857475.33,0.101176471,0.413333333,1.351706897
76708,242275,44884,64,6602806.74,0.116909091,0.388196721,1.8695625
76710,196090,38952,101,9714909.88,0.107424242,0.30625,1.198289109
76711,1541,645,4,28126.23,0.09,0.2475,0.95885
76712,1023385,148087,276,34160841.24,0.123364055,0.346640316,1.403464493
76801,309591,46377,99,10993075.51,0.09987013,0.328777778,1.27910101
76802,67401,2004,11,731771.92,0.078,0.256363636,1.019618182
76821,9149,1281,7,322339.38,0.085,0.33,1.489771429
76823,11087,305,2,163502.66,,0.365,1.0755
76825,16780,1731,8,462341.25,0.0675,0.355714286,1.2935
76834,7681,876,8,280326.42,0.0575,0.368571429,1.4072125
76837,8804,820,6,200843.54,0.0725,0.388333333,1.37305
76844,10139,483,5,171646.21,0.095,0.3425,0.9309
76849,4878,571,5,123435.93,0.13,0.382,1.54322
76856,3663,103,2,64128.82,,0.27,1.46195
76859,310,268,1,23538.04,0.09,0.44,1.7327
76877,7885,374,3,132873.11,0.13,0.28,1.0562
76878,1820,236,2,32255.31,0.07,0.29,0.9971
76901,59888,10306,37,1963103.91,0.076666667,0.324117647,1.145975676
76902,1370,376,2,115554.29,0.11,0.34,1.17025
76903,603291,117409,203,22583967.62,0.113588235,0.394793814,1.497389163
76904,465209,59845,139,15569144.81,0.095148515,0.361846154,1.434005036
76905,2823,313,3,128352.98,,0.463333333,2.005233333
76908,1633,206,1,27244.83,,0.3,1.0816
76932,3993,513,3,100184.35,0.08,0.296666667,1.425466667
76934,62,54,1,191.75,,0.59,1.0625
76936,1922,120,2,34618.27,,0.305,1.8804
76941,1097,791,1,104757.18,0.09,0.44,2.0228
76943,13257,828,4,148623.14,0.095,0.37,1.3393
76945,1521,34,1,20112.96,,0.35,1.6437
76950,14595,883,6,321606.57,0.08,0.42,1.508466667
76951,2634,36,1,36139.47,,0.42,1.7701
77002,446603,62247,171,20887572.88,0.115982143,0.464081633,1.870237427
77003,21087,3204,20,889928.39,0.073,0.545,1.854765
77004,446920,47651,194,20603176.89,0.120406504,0.461208791,2.027660309
77005,473588,51060,103,11586037.18,0.133333333,0.284827586,1.361221359
77006,168626,26347,91,6375723.97,0.080869565,0.512837838,2.183531868
77007,81658,16600,45,3509791.33,0.123157895,0.4515625,1.673811111
77008,492750,94575,181,20334355.92,0.123358209,0.451488095,1.949372376
77009,7612,1959,22,324770.29,0.1275,0.435789474,1.753559091
77010,246,109,3,11301.55,0,0.3,1.442966667
77011,16188,3469,13,1028075.9,0.0475,0.484166667,1.554361538
77012,3625,837,9,134734.59,0.07,0.46625,1.254477778
77013,1544,332,6,54780.74,0,0.466666667,1.548933333
77014,29931,4176,32,1236507.99,0.093846154,0.4165,1.59360625
77015,137391,15841,81,6096720.73,0.10825,0.456486486,2.002288889
77016,2565,344,4,107559.96,0.08,0.41,1.19685
77017,90133,10891,22,5395071.12,0.083333333,0.611363636,4.571372727
77018,43580,11284,46,1549637.33,0.077894737,0.421052632,1.524752174
77019,16698,5705,24,1022191.99,0.09,0.365,1.504804167
77020,2865,892,10,129095.94,0.195,0.41875,1.75301
77021,23649,6014,28,1110347.96,0.086875,0.396521739,1.89415
77022,105070,3871,10,2410168.67,0.085,0.541111111,2.20097
77023,10591,1693,19,398191.83,0.153333333,0.450666667,1.206205263
77024,1578610,241351,397,49632036.69,0.139417808,0.364815864,1.547057431
77025,366292,64437,178,28862989.28,0.119677419,0.408467742,1.789566292
77026,9516,2445,30,465399.39,0.12875,0.497727273,1.8878
77027,331216,67126,210,25361180.97,0.132345679,0.423715847,1.872992857
77028,2597,1165,7,144526.72,0.05,0.48,1.328028571
77029,15274,880,12,351100.41,,0.511111111,2.169041667
77030,4785131,1066458,3757,258566464.4,0.27465505,0.394611011,2.130726963
77031,5513,557,3,147294.25,0.015,0.4,1.213766667
77032,162006,8726,6,3785907.01,0.15,0.49,2.09695
77033,6838,15,1,149088.28,,0.75,9.5514
77034,225934,17336,46,9366708.65,0.163823529,0.421627907,1.924823913
77035,6953,2007,14,302828.06,0.095714286,0.390909091,1.372478571
77036,256004,22646,87,9656251.03,0.069387755,0.438481013,1.949889655
77037,3408,1005,7,117908.62,0.1,0.426,1.269457143
77038,56005,46115,3,8321015,0.055,0.35,1.1719
77039,3356,908,11,115068.06,0,0.461,1.332936364
77040,2718106,302423,40,34753815.37,0.116190476,0.365,1.58341
77041,229551,1453,10,3174307.35,0.076,0.338571429,1.43116
77042,127465,11064,39,4525630.03,0.16173913,0.41030303,1.771348718
77043,160882,21984,44,8276694.66,0.126857143,0.387380952,1.804736364
77044,12855,1946,13,378589.55,0.082,0.35,1.126561538
77045,12572,763,7,358250.22,0.18,0.468571429,1.569757143
77046,3604,1009,12,137970.99,0.09,0.35625,1.105258333
77047,322743,170870,96,8343533.51,0.127058824,0.433294118,2.434986458
77049,6617,495,8,165867.36,0.08,0.395,1.304475
77051,9630,678,4,341773.01,0.066666667,0.4725,1.674
77053,142,58,1,3323.32,,0.52,1.1183
77054,4908648,148982,289,50931469.67,0.130697674,0.410484581,1.842090657
77055,182022,20525,85,6878203.91,0.132592593,0.390136986,1.449112941
77056,20706,4915,32,1014489.92,0.102222222,0.3184,1.364290625
77057,227140,108287,712,20409968.18,0.158582231,0.405334347,1.898593258
77058,198528,28251,127,8627733.98,0.136774194,0.355514019,1.518147244
77059,11212,4158,12,322898.3,0.095714286,0.330833333,1.247875
77060,126744,7751,18,3049288.25,0.12,0.442666667,2.111444444
77061,10009,1305,7,298710.05,0.085,0.375,1.195042857
77062,23769,5519,32,1069142.55,0.1245,0.267407407,1.07409375
77063,183892,21236,78,5897773.37,0.111764706,0.304647887,1.235175641
77064,14977,1899,13,532789.87,0.102,0.350909091,1.258623077
77065,240942,28684,128,11174897.69,0.133246753,0.420648148,1.641760156
77066,9524,683,5,516199.86,0.04,0.445,2.53334
77067,4456,715,7,193934.59,0.04,0.386,1.231757143
77068,13286,3707,14,835563.44,0.071428571,0.404545455,1.357664286
77069,6953,3148,23,299229.91,0.075,0.330625,1.118026087
77070,1758337,55732,181,26289366.07,0.130082645,0.411118421,1.607616575
77071,24199,1339,10,763275.74,0.1,0.393333333,1.48695
77072,2379075,234072,24,32334943.55,0.059230769,0.404347826,1.2665625
77073,19070,9903,34,1407696.98,0.111363636,0.429354839,2.163423529
77074,805482,105310,341,42707480.94,0.112240664,0.439506579,1.899677126
77075,110548,13048,46,4956598.08,0.085,0.450952381,2.083219565
77076,55347,10264,44,3809452.68,0.076296296,0.526410256,2.060322727
77077,90331,9692,52,2458420.16,0.094516129,0.365952381,1.395763462
77079,85165,16393,72,3889862.37,0.118409091,0.365789474,1.451595833
77080,8370,2547,14,568313.92,0.12375,0.2925,1.310042857
77081,732242,18377,55,5402837.52,0.067857143,0.403404255,1.658703636
77082,216399,34542,110,10901695.63,0.119873418,0.4315,1.853855455
77083,40686,4431,22,900040.1,0.052857143,0.404,1.424159091
77084,60805,6578,31,3183413.44,0.1,0.368571429,1.400009677
77085,477,215,3,16662.3,,0.46,1.398133333
77086,1148,376,5,45880,0.06,0.412,1.013
77087,7380,1165,16,248074.92,0.02,0.397857143,1.21851875
77088,9340,2169,15,245462.86,0.062,0.491428571,1.43812
77089,440972,47571,117,18459228.04,0.124787234,0.449553571,1.901886325
77090,1312367,181701,335,43599303.5,0.136327273,0.400443038,1.723613731
77091,59803,4600,18,2122200.15,0.115,0.512352941,2.14515
77092,59204,4036,21,1565234.42,0.205714286,0.392222222,1.623304762
77093,9918,1028,11,344344.28,0.05,0.561,1.897136364
77094,392892,14474,46,8881720.13,0.187777778,0.37952381,1.615447826
77095,47774,10760,41,1928073.86,0.085882353,0.380571429,1.328221951
77096,162144,9605,49,3418166.02,0.13137931,0.40475,1.848910204
77098,151576,34988,101,6622777.67,0.1162,0.387619048,1.473732673
77099,12582,2067,18,447674.97,0.092,0.426470588,1.255744444
77204,8477,3520,42,904483.58,0.061666667,0.3692,1.409969048
77210,4589,2071,5,190981.41,0.385,0.3075,2.02216
77230,260,88,1,63693.92,0.34,0.45,2.5834
77257,5637,3931,1,114082.93,0.13,0.37,1.6723
77292,138,47,1,21580.17,,0.32,1.0795
77301,23654,3065,24,632085.6,0.095,0.308947368,1.2608875
77303,104,87,1,8297.62,0.14,0.25,0.9699
77304,747817,94712,210,28531862.83,0.123846154,0.370891089,1.637911429
77305,120,78,2,5733.31,0,0.24,1.58
77316,13278,2343,7,415008.8,0.136666667,0.361428571,1.5599
77318,7052,979,3,194690.59,0.14,0.323333333,1.7397
77320,32796,1365,5,772191.73,0.145,0.35,2.0022
77327,107543,10433,38,4293018.44,0.088636364,0.436764706,1.665728947
77331,4771,544,2,165067.54,0.1,0.475,1.8871
77336,212,71,1,8126.69,,0.38,1.0696
77338,363511,45943,132,21137871.21,0.121264368,0.43612069,1.908981818
77339,1112734,54734,202,29856251.56,0.137761194,0.380113636,1.538892079
77340,185063,25934,82,6499690.6,0.114482759,0.333098592,1.427580488
77345,20437,4885,13,1167630.52,0.11,0.390909091,1.782023077
77346,25118,5739,39,1287126.44,0.092307692,0.362413793,1.240607692
77351,254908,21551,45,6498499.96,0.100625,0.38,1.390475556
77354,26097,4588,26,917979.86,0.095625,0.338571429,1.145580769
77355,5182,550,3,131321.19,0.04,0.39,0.947066667
77356,57476,5925,22,1414729.84,0.087058824,0.267777778,1.126109091
77357,9906,449,1,428451.34,0.06,0.33,1.2824
77358,260,33,1,6988.93,,,0.922
77360,62,55,1,3236.19,,0.24,1.0978
77362,787,333,2,27335.61,0.09,0.34,1.3356
77365,23281,1328,7,550442.82,0.156,0.364285714,1.536628571
77371,2794,345,4,64213.46,0.07,0.49,1.151775
77372,2194,305,1,42425.3,0.06,0.39,1.0241
77373,6955,1431,16,326573.72,0.058571429,0.364545455,1.39095
77375,412427,60034,160,21919188.13,0.135081967,0.384527027,1.603505625
77377,6594,1707,10,492660.52,0.1,0.351111111,1.44961
77378,1413,592,2,32485.33,0.06,0.185,0.88185
77379,117159,37241,167,6265000.73,0.131272727,0.366066667,1.494976647
77380,1689850,84481,275,46232681.6,0.153177083,0.344025424,1.465963636
77381,64070,12621,54,3814372.92,0.128611111,0.355217391,1.547024074
77382,68684,10008,45,3230243.77,0.105,0.264146341,1.068266667
77384,503834,35493,100,13449548.09,0.155384615,0.354222222,1.586505
77385,8726,1788,8,407391.71,0.096666667,0.411666667,1.627375
77386,25880,4667,25,1646999.99,0.094615385,0.345,1.243784
77387,10607,4533,1,212653.22,0.13,0.36,1.6196
77388,12526,2268,19,465771.11,0.112222222,0.377692308,1.508968421
77389,5898,2929,8,413406.11,0.155714286,0.431428571,1.9062
77396,7790,2129,15,305327.32,0.143333333,0.346153846,1.419946667
77399,435,421,2,40334.39,0.12,0.465,2.0378
77401,303860,47261,153,16480242.34,0.113391304,0.372651515,1.556381046
77406,6358,1297,12,340951.89,0.125714286,0.404,1.558283333
77407,20297,1185,10,486576.31,0.04,0.36,2.18428
77414,133926,18420,56,5083786.82,0.093055556,0.4158,1.573669643
77418,35148,3910,11,1073936.48,0.091428571,0.315555556,1.194418182
77422,1601,396,2,52073.33,0.05,0.375,1.3945
77429,311062,85584,152,15049208.95,0.139482759,0.413208955,1.649321711
77433,27526,4761,30,1445987.48,0.092857143,0.3868,1.436856667
77434,1811,610,5,90236.97,0.14,0.3475,1.46558
77435,3823,484,5,203146.31,0.08,0.395,1.56836
77437,58810,6844,21,1381969.13,0.086666667,0.370526316,1.43377619
77441,2506,743,2,110952.64,0.085,0.415,1.65785
77445,25675,1423,10,657662.18,0.056,0.475555556,1.76946
77446,21,12,1,737.32,,,0.6558
77449,21042,2337,19,587842.24,0.095,0.391875,1.2778
77450,228448,41073,165,13127822.71,0.110666667,0.385810811,1.412894545
77459,34887,11697,54,1359967.38,0.105555556,0.390909091,1.392085185
77461,11003,930,3,235429.03,0.066666667,0.333333333,1.091966667
77462,50804,285,1,635259.04,0.45,0.37,2.1097
77465,1643,405,2,57319.94,0.09,0.28,1.04035
77469,293090,20579,77,8323226.57,0.105,0.421060606,1.624807792
77471,72437,8632,33,2365348.71,0.064,0.368333333,1.229342424
77474,16729,2881,13,531226.93,0.085714286,0.330833333,0.899292308
77477,62894,3012,18,1571976.57,0.12125,0.439375,1.880766667
77478,526487,61983,237,20502411.52,0.102836879,0.398955224,1.467411392
77479,768028,77369,260,31003660,0.144699454,0.422327586,1.698099615
77480,9816,868,4,287576.9,0.08,0.4075,1.505625
77484,11650,1182,6,636995.38,0.07,0.316666667,1.075066667
77486,12456,2326,8,441380.33,0.094285714,0.39625,1.439675
77488,132295,13148,36,3612561.63,0.108928571,0.383888889,1.445902778
77489,1307,670,5,71518.12,0.123333333,0.502,2.07028
77493,73069,12801,34,3781544.83,0.129642857,0.39625,1.605897059
77494,86693,16395,96,4395568.86,0.123333333,0.354935065,1.427336458
77498,27129,431,6,667987.5,0,0.5225,2.18645
77502,15654,2205,12,652875.12,0.07,0.404545455,1.477425
77503,13500,285,2,619706.92,0.1,0.48,1.18505
77504,379735,63234,172,17671977.28,0.112538462,0.402592593,1.653621512
77505,157138,33298,91,8441049.56,0.102741935,0.389638554,1.536234066
77506,11732,1302,12,621597.01,0.035,0.425,1.445425
77510,7008,985,7,267879.03,0.1025,0.346,1.2684
77511,55561,8417,36,2163597.05,0.0825,0.375555556,1.322694444
77514,2239,527,4,153908.47,0.07,0.386666667,1.49805
77515,82824,14615,39,4466846.41,0.0956,0.360571429,1.242861538
77517,636,293,1,11260.88,0.09,0.26,0.9049
77518,388,200,2,9889.12,0.09,0.37,1.29025
77519,986,136,1,28584.18,0.09,0.4,1.0575
77520,118492,14242,42,3994231.51,0.107826087,0.383589744,1.436464286
77521,500640,57606,163,19839156.8,0.129401709,0.425866667,1.779759509
77522,218,77,1,36108.16,0.19,0.42,1.4477
77523,1528,432,3,22958.96,0.07,0.326666667,0.971
77530,22490,3400,13,1097263.74,0.082222222,0.462727273,1.792053846
77531,14247,1189,4,310091.73,0.113333333,0.3125,1.264575
77532,21789,2799,17,837408.44,0.095,0.358666667,1.496141176
77533,30936,702,1,564027.28,0.12,0.47,2.2251
77534,1053,66,1,35330.17,,0.35,1.8921
77535,7184,1517,10,205991.07,0.06,0.32625,1.04804
77536,13038,2631,19,508622.98,0.0775,0.306923077,1.177921053
77539,75293,13472,43,3604557.51,0.099655172,0.333513514,1.404825581
77541,7937,526,6,219237.81,0.105,0.464,2.043866667
77545,9454,627,5,332688.33,0.04,0.498,1.848
77546,57472,10473,64,2351427.76,0.09137931,0.340188679,1.276904688
77547,482,51,1,22268.08,,0.57,3.0698
77550,90762,14202,27,2834989.74,0.096875,0.348181818,1.494181481
77551,31953,5059,26,1298477.5,0.120833333,0.304736842,1.209553846
77554,1243,331,4,84213.62,0.393333333,0.463333333,2.193025
77555,297938,121496,393,16751681.69,0.139244604,0.404447514,1.968326972
77561,562,190,1,28178.6,0.08,0.31,0.7807
77562,7503,710,5,300703.19,0.095,0.3275,1.2501
77563,868,241,1,39182.75,0.09,0.27,1.0796
77565,950,397,4,33977.08,0.16,0.325,0.921975
77566,288457,39090,91,10543460.29,0.12173913,0.332168675,1.271806593
77568,7799,1428,11,421055.84,0.12,0.399,1.580254545
77571,22417,3486,20,897714.77,0.089090909,0.362857143,1.3376
77573,78090,14752,83,3836067.73,0.12125,0.36046875,1.457862651
77575,41597,4367,25,910705.54,0.074666667,0.348421053,1.402224
77578,9495,2630,9,445323.42,0.116,0.45,2.255144444
77580,2156,98,1,52611.8,0.14,0.53,2.0215
77581,255413,15112,52,7924774.01,0.0892,0.37825,1.371278846
77583,5003,1205,3,226341.42,0.095,0.473333333,2.138833333
77584,192904,26575,111,7149754.65,0.122698413,0.381397849,1.541956757
77586,10112,2962,16,538496.14,0.113,0.314166667,1.2044125
77587,1615,170,2,59140.14,,0.44,2.23965
77589,5341,737,1,266294.91,0.15,0.48,2.85
77590,27655,5057,20,1361143.57,0.096666667,0.343157895,1.27813
77591,204894,32140,78,9820699.59,0.117868852,0.459577465,1.920484615
77598,2158045,120334,305,45962930.82,0.142,0.395280899,1.732121311
77611,17736,1866,6,440577.73,0.074,0.308333333,1.0891
77612,8505,661,3,101135.01,0.073333333,0.386666667,1.145366667
77613,1711,136,1,32370.17,,0.38,0.9085
77619,16581,3030,12,807581.05,0.12125,0.446666667,1.702775
77622,489,18,1,9798.83,,,2.4423
77623,933,45,1,25263.3,,,1.6086
77625,2397,318,2,69677.67,0.09,0.4,1.54635
77627,228030,15152,49,4087978.34,0.099333333,0.418085106,1.539444898
77630,100145,17391,38,3672861.93,0.091290323,0.389722222,1.348436842
77632,3945,504,4,122623.54,0.11,0.32,1.070075
77640,109492,18570,49,5911982.64,0.12075,0.455918367,1.874085714
77642,345190,34016,91,13504658.62,0.172931034,0.409411765,1.592026374
77643,26821,14277,6,502921.83,0.13,0.44,1.846216667
77650,1475,150,1,27401.06,0.09,0.26,0.9769
77651,42336,4728,19,1261507.52,0.093571429,0.364705882,1.383547368
77656,64113,4168,15,1361238.96,0.09,0.365714286,1.274166667
77657,14090,2355,15,371961.82,0.0975,0.343076923,1.18586
77659,3077,506,4,90113.38,0.08,0.376666667,1.26275
77662,9465,2092,7,299399.15,0.07,0.324285714,1.146785714
77665,4312,1075,7,228445,0.053333333,0.435,2.0206
77701,638742,60113,118,18752793.56,0.131304348,0.417787611,1.548325424
77702,1399843,121595,217,39448511.3,0.143842105,0.423971292,1.718821659
77703,6198,907,4,240501.3,0.065,0.4525,1.494275
77705,4309,661,6,149167.17,0.09,0.41,1.563716667
77706,258873,75109,101,7941318.85,0.104375,0.392888889,1.49730099
77707,119116,23269,41,7413377.68,0.108235294,0.403684211,1.5252
77708,2204,1218,6,279105.45,0.09,0.394,1.1697
77710,50,25,1,998.87,,,1.0845
77713,16243,2395,7,365330.48,0.095,0.315714286,1.021314286
77726,787,684,2,72118.87,0.16,0.415,1.76865
77801,97951,2324,1,1769252.25,0.14,0.43,2.0179
77802,688478,148895,292,30933372.09,0.129955556,0.355407407,1.427341096
77803,11353,1665,4,709290.41,0.14,0.325,1.15815
77805,4039,295,1,25291.13,,0.29,1.249
77807,4143,646,6,253393.24,0.056666667,0.2975,1.109116667
77808,4401,2673,6,259713.83,0.095,0.33,1.432133333
77833,199664,21087,60,4745821.45,0.116578947,0.269574468,1.145541667
77836,5712,2105,10,227721.92,0.121428571,0.393333333,1.43917
77840,163886,31468,123,5938678.73,0.1068,0.323366337,1.237430081
77842,6585,164,1,140618.96,0.08,0.26,0.952
77843,1023,409,3,45800.47,0.12,0.373333333,1.642333333
77845,365524,41204,144,14310569.35,0.114456522,0.342542373,1.298238889
